Symbol,Strategy,TotalReturn,SharpeRatio,MaxDrawdown,WinRate,ProfitFactor,TotalTrades,AvgTrade,Score,RiskAdjusted
SPY,"Momentum(10,30)",0.05128085833590143,1.3980174197297086,-0.050840400392784035,0.35,1.2714121574273967,60,0.0008546809722650184,1.984107086525687,51.28085833590143
SPY,"Momentum(5,20)",0.09534583986705314,2.2840343967792838,-0.04550901296716712,0.4430379746835443,1.4951457047099443,79,0.0012069093654057408,3.6102033355354495,95.34583986705314
SPY,MeanReversion(20),0.04456590220514059,1.4650112489876317,-0.05848302918956001,0.45098039215686275,1.2135608391321553,51,0.0008738412197086417,2.220436450606254,44.56590220514059
SPY,MeanReversion(10),0.06762246815253137,1.4745772038816058,-0.06377768456951852,0.6330275229357798,1.2243615617608667,109,0.0006203896160782699,2.5708617632324575,67.62246815253137
SPY,Breakout(20),0.03273323639202703,1.243105111595557,-0.03891616417788505,0.39473684210526316,1.2001390309092665,38,0.0008614009576849165,1.7905575302341639,32.733236392027024
SPY,Breakout(10),-0.0055627377286517005,-0.11538713092495803,-0.03606525834868511,0.36507936507936506,0.9711409670244345,63,-8.829742426430411e-05,-0.15663639018633393,-5.5627377286517
SPY,DualThrust,-0.10145045844078035,-2.0644271891521364,-0.10180954854883952,0.34408602150537637,0.7054878389849947,186,-0.0005454325722622582,-2.493266269348173,-101.45045844078035
QQQ,"Momentum(10,30)",0.06786628997629639,1.1667356787407277,-0.058557851882142256,0.4111111111111111,1.1980995259009575,90,0.0007540698886255139,1.7581283109028807,67.86628997629639
QQQ,"Momentum(5,20)",0.019738666467158474,0.37743293584982285,-0.04624928810264235,0.3490566037735849,1.053770702848891,106,0.0001862138345958356,0.5192288970929477,19.738666467158474
QQQ,MeanReversion(20),-0.027507487901193964,-0.7309428842183153,-0.09041949922514433,0.32653061224489793,0.8892943707185824,49,-0.0005613773041059974,-0.9429463532413072,-27.50748790119396
QQQ,MeanReversion(10),0.02102014125898815,0.3785950817119852,-0.09549677715312621,0.5078125,1.0470000495306322,128,0.00016421985358583882,0.5828497526190559,21.02014125898815
QQQ,Breakout(20),0.10774263182894545,2.8664060380533187,-0.03084097993566057,0.4186046511627907,1.536158959343439,43,0.002505642600673145,4.504410471569707,107.74263182894545
QQQ,Breakout(10),0.07016646636367979,1.6086364842602432,-0.03719539064536315,0.3787878787878788,1.2793703085707357,66,0.001063128278237573,2.37359549703375,70.16646636367979
QQQ,DualThrust,-0.13693654824231546,-1.7890781605513941,-0.15491964718001683,0.3383838383838384,0.7340808475333098,198,-0.0006915987284965406,-2.0665823877176286,-136.93654824231547
IWM,"Momentum(10,30)",-0.14510047222257433,-2.7192674507096743,-0.17239251444535852,0.2376237623762376,0.6068254566376329,101,-0.0014366383388373695,-2.877104529099288,-145.10047222257433
IWM,"Momentum(5,20)",-0.08527775903197253,-1.2809374510216165,-0.13232207461548473,0.3050847457627119,0.787376850171834,118,-0.0007226928731523106,-1.5291703751161727,-85.27775903197252
IWM,MeanReversion(20),0.058051040114040664,1.5158625560973342,-0.0702470680055414,0.3888888888888889,1.2217570975555778,54,0.0010750192613711265,2.2275832696509896,58.05104011404066
IWM,MeanReversion(10),0.05863090780251514,0.8904780366025244,-0.054574742287944455,0.5333333333333333,1.1165991780797142,135,0.0004343030207593688,1.4454542774756551,58.63090780251514
IWM,Breakout(20),-0.0457946710036436,-1.24049543203123,-0.09123429855504572,0.2391304347826087,0.8160726956920122,46,-0.0009955363261661529,-1.4667430229319718,-45.7946710036436
IWM,Breakout(10),-0.08611775523622957,-1.7811745797475533,-0.09034402995897224,0.25,0.7466771132279707,76,-0.0011331283583714369,-2.034729779069824,-86.11775523622957
IWM,DualThrust,-0.010005891578872106,-0.07938974023520215,-0.07369129349158435,0.3791208791208791,0.9769975875688931,182,-5.497742625754059e-05,-0.10839252280541434,-10.005891578872106
AAPL,"Momentum(10,30)",-0.02223336649508259,-0.20564654523742293,-0.10013687351726946,0.2972972972972973,0.954140106045691,111,-0.00020030059905480193,-0.260853185161572,-22.23336649508259
AAPL,"Momentum(5,20)",0.05230070125050654,0.7616042721771672,-0.10144940181389905,0.3577981651376147,1.112805584556183,109,0.00047982294725235704,1.088189293887499,52.300701250506535
AAPL,MeanReversion(20),-0.018801774531068075,-0.2449442825012261,-0.08633705411047841,0.30985915492957744,0.9531000899976647,71,-0.00026481372578969617,-0.3148101023323047,-18.801774531068073
AAPL,MeanReversion(10),-0.12048420681855875,-1.4119440645304466,-0.18484777028184632,0.39416058394160586,0.8020601348534263,137,-0.0008794467650989696,-1.7313064002487213,-120.48420681855875
AAPL,Breakout(20),0.0545974596949578,1.323276455346465,-0.06612444860663128,0.3,1.2029891026843498,50,0.0010919491938991555,1.8141811847672897,54.5974596949578
AAPL,Breakout(10),0.08585274278104699,1.4364279402841273,-0.07786565677242588,0.3466666666666667,1.2185666751780906,75,0.001144703237080626,2.1004622812699973,85.85274278104698
AAPL,DualThrust,0.1369616517258939,1.3513043178343147,-0.08675552598166499,0.4022346368715084,1.248788731201123,179,0.0007651488923234349,2.1543669189189827,136.9616517258939
MSFT,"Momentum(10,30)",-0.04002758781203098,-0.46919210867740335,-0.13139423230894132,0.29906542056074764,0.9122337627067828,107,-0.000374089605719915,-0.5851139791418535,-40.02758781203098
MSFT,"Momentum(5,20)",-0.07244979678760195,-0.9593718979954873,-0.17872787972786444,0.336,0.8445457334302693,125,-0.0005795983743008193,-1.1888604401864828,-72.44979678760195
